time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
1633017600,68.05,68.05,65.25,65.41,82140.68457,NaN,82140.68457,NaN,NaN,NaN,-72753.17776200018,-72753.17776200018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633032000,65.29,68,64.68,66.73,303104.3754,NaN,303104.3754,NaN,NaN,303104.3754,-1541.908842722827,-1541.908842722827,303104.3754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633046400,66.74,67.03,65,65.29,101009.8714,NaN,101009.8714,NaN,NaN,202094.50400000002,-73691.81698557937,-73691.81698557937,202094.50400000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633060800,65.29,65.67,63.29,64.91,49917.21440000001,NaN,49917.21440000001,NaN,NaN,152177.28960000002,-55654.50421919284,-55654.50421919284,152177.28960000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633075200,64.91,69.5,64.8,68.58,68612.59539,NaN,68612.59539,NaN,NaN,220789.88499000002,-13903.010003150317,-13903.010003150317,220789.88499000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633089600,68.6,69.63,65.94,67.25,90366.6814,NaN,90366.6814,NaN,NaN,130423.20359000002,-40106.898647594615,-40106.898647594615,130423.20359000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633104000,67.25,70.06,66.97,68.54,127389.4234,NaN,127389.4234,NaN,NaN,257812.62699000002,-38045.58111684981,-38045.58111684981,257812.62699000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633118400,68.59,68.78,66.44,67.79,84000.0764,NaN,84000.0764,NaN,NaN,173812.55059,-25122.49243992626,-25122.49243992626,173812.55059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633132800,67.74,68.15,65.89,66.19,66522.90340000001,NaN,66522.90340000001,NaN,NaN,107289.64718999999,-73984.44803461674,-73984.44803461674,107289.64718999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633147200,66.16,67.55,65.9,67,29347.090330000003,NaN,29347.090330000003,NaN,NaN,136636.73752,-64202.084591283405,-64202.084591283405,136636.73752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633161600,66.98,67.18,66.14,66.84,19921.131309999997,NaN,19921.131309999997,NaN,NaN,116715.60621,-57306.30836859115,-57306.30836859115,116715.60621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633176000,66.85,70.98,66.69,70.26,115374.5324,NaN,115374.5324,NaN,NaN,232090.13861,19341.108260779605,19341.108260779605,232090.13861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633190400,70.27,82,70.16,72.79,314014.11639999994,NaN,314014.11639999994,NaN,NaN,546104.25501,-155170.11521151717,-155170.11521151717,546104.25501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1633204800,72.79,72.79,67.04,69.14,99747.24840000001,NaN,99747.24840000001,NaN,NaN,446357.0066099999,-182058.50391064782,-182058.50391064782,446357.0066099999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.266702298236243,NaN
1633219200,69.21,71.37,67.74,70.4,93138.9764,NaN,93138.9764,NaN,60.56755612028802,539495.98301,-138696.28073819584,-138696.28073819584,539495.98301,NaN,85.71428571428571,21.428571428571427,NaN,NaN,NaN,60.56755612028802,38.001068947087155,NaN
1633233600,70.43,71.51,69.75,70.12,35799.34638,NaN,35799.34638,NaN,59.803763873250766,503696.63662999996,-159443.62920842296,-159443.62920842296,503696.63662999996,NaN,78.57142857142857,14.285714285714286,NaN,NaN,NaN,59.803763873250766,36.504543025120284,35.25743809014789
1633248000,70.15,70.9,68.92,70.3,21290.277289999998,NaN,21290.277289999998,NaN,60.151656023923465,524986.91392,-151056.5502759989,-151056.5502759989,524986.91392,NaN,71.42857142857143,7.142857142857143,NaN,NaN,NaN,60.151656023923465,37.46659540352751,37.32406912524498
1633262400,70.31,72.74,69.8,70.04,92367.27738000001,NaN,92367.27738000001,NaN,59.35258677239841,432619.63654,-228343.45583885547,-228343.45583885547,432619.63654,NaN,64.28571428571429,0,NaN,NaN,NaN,59.35258677239841,30.465116279069814,34.812084902572536
1633276800,70.14,71.5,69,69.81,77325.94339999999,NaN,77325.94339999999,NaN,58.61084289636173,355293.69314,-255562.18791565532,-255562.18791565532,355293.69314,NaN,57.142857142857146,0,NaN,NaN,NaN,58.61084289636173,24.332712600869037,30.754808094488794
1633291200,69.95,69.95,67.8,69.54,62056.2004,96672.29829250001,62056.2004,96672.29829250001,57.69924139336807,293237.49274,-217173.93371472484,-217173.93371472484,293237.49274,NaN,50,21.428571428571427,NaN,NaN,NaN,57.69924139336807,22.656734947237776,25.81818794239221
1633305600,69.53,69.55,66.65,66.81,61924.337400000004,95661.48093400002,61924.337400000004,95661.48093400002,49.34258525879062,231313.15534,-272265.2407809319,-272265.2407809319,231313.15534,NaN,42.857142857142854,14.285714285714286,NaN,NaN,NaN,49.34258525879062,5.710738671632537,17.56672873991312
1633320000,66.81,67.42,66,67.42,42911.141350000005,82651.8192315,42911.141350000005,82651.8192315,51.048587236344034,274224.29669,-229354.0994309319,-229354.0994309319,274224.29669,NaN,35.714285714285715,7.142857142857143,NaN,NaN,NaN,51.048587236344034,9.497206703910622,12.62156010759365
1633334400,67.43,67.64,65.55,65.96,28161.64535,79009.40792900001,28161.64535,79009.40792900001,46.97125262079395,246062.65133999998,-246466.6781842813,-246466.6781842813,246062.65133999998,NaN,28.571428571428573,100,NaN,NaN,NaN,46.97125262079395,2.49240121580545,5.90011553044954
1633348800,66.06,68.13,64,66.02,89564.1704,80991.755729,89564.1704,80991.755729,47.15804304038945,335626.82174,-248418.43976684797,-248418.43976684797,335626.82174,NaN,21.428571428571427,100,NaN,NaN,NaN,47.15804304038945,11.2222222222222,7.737276713979427
1633363200,65.98,67.36,65.78,66.49,72427.9414,81182.52302950001,72427.9414,81182.52302950001,48.68292564056191,408054.76314,-255752.91484532948,-255752.91484532948,408054.76314,NaN,14.285714285714286,92.85714285714286,NaN,NaN,NaN,48.68292564056191,13.833333333333306,9.182652257120322
1633377600,66.59,66.63,64.5,65.37,77637.44939999998,80546.06142950001,77637.44939999998,80546.06142950001,45.3262300167392,330417.31374,-269968.22248194873,-269968.22248194873,330417.31374,NaN,7.142857142857143,85.71428571428571,NaN,-0.5469270040352683,NaN,45.3262300167392,7.6111111111111365,10.888888888888884
1633392000,65.35,65.79,64.25,65,78155.43940000002,78084.36222950001,78155.43940000002,78084.36222950001,44.24098337822292,252261.87433999998,-271998.23389493604,-271998.23389493604,252261.87433999998,NaN,0,78.57142857142857,NaN,-0.6928961566031404,NaN,44.24098337822292,11.37656427758816,10.940336240677539
1633406400,64.98,66.49,64.65,65.98,31412.38934,75454.97787650002,31412.38934,75454.97787650002,47.80559206789542,283674.26368,-257999.23429776193,-257999.23429776193,283674.26368,27.485103618253188,0,71.42857142857143,NaN,-0.7211865621010105,NaN,47.80559206789542,22.65446224256299,13.880712543754099
1633420800,65.93,66.71,65.38,65.75,31801.28223,73718.89681800002,31801.28223,73718.89681800002,47.04543956467048,251872.98144999996,-272106.57002385193,-272106.57002385193,251872.98144999996,26.10443198919583,21.428571428571427,64.28571428571429,NaN,-0.7534803377805304,NaN,47.04543956467048,20.02288329519452,18.01796993844856
1633435200,65.75,65.82,63.07,63.55,80892.9394,76296.18927150001,80892.9394,76296.18927150001,40.42415166845249,170980.04204999996,-324760.51966967003,-324760.51966967003,170980.04204999996,24.70815216075761,14.285714285714286,100,NaN,-0.9456936339649928,NaN,40.42415166845249,4.9638055842812525,15.880383707346255
1633449600,63.62,64.07,62.53,63.9,104171.82740000001,80508.72407600001,104171.82740000001,80508.72407600001,41.826891909102144,275151.86945,-243587.66715018888,-243587.66715018888,275151.86945,23.632606847570234,7.142857142857143,100,NaN,-1.05759073343755,NaN,41.826891909102144,13.418217433888328,12.801635437788036
1633464000,63.97,66.29,63.86,64.69,60775.4084,77778.76787600003,60775.4084,77778.76787600003,44.97610522359665,335927.27785,-262845.7183715883,-262845.7183715883,335927.27785,22.25659727281316,0,92.85714285714286,NaN,-1.0701871420449578,NaN,44.97610522359665,24.080267558528394,14.154096858899328
1633478400,64.7,65.83,63,63.13,49611.7264,64558.648376000034,49611.7264,64558.648376000034,40.332865756957496,286315.55145,-307899.47697512177,-307899.47697512177,286315.55145,20.732300319210985,0,85.71428571428571,NaN,-1.1923047027254654,NaN,40.332865756957496,8.086253369272255,15.194912787229663
