time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
1616630400,2.78,2.78,2.347,2.4027,3577544.4741900004,NaN,3577544.4741900004,NaN,NaN,NaN,-2657132.3392598266,-2657132.3392598266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1616716800,2.3853,2.6565,2.3783,2.6279,4294734.494260012,NaN,4294734.494260012,NaN,NaN,4294734.494260012,754572.6328158854,754572.6328158854,4294734.494260012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1616803200,2.6275,3.1957,2.561,3.1222,15285010.464400003,NaN,15285010.464400003,NaN,NaN,19579744.958660014,12499490.86739581,12499490.86739581,19579744.958660014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1616889600,3.1183,3.39,2.9116,3.0253,14522103.914399978,NaN,14522103.914399978,NaN,NaN,5057641.044260036,4880243.203277099,4880243.203277099,5057641.044260036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1616976000,3.0206,3.5892,2.9907,3.528,10265807.244369991,NaN,10265807.244369991,NaN,NaN,15323448.288630027,13046577.086392485,13046577.086392485,15323448.288630027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617062400,3.523,3.5285,3.05,3.2916,5496294.494189988,NaN,5496294.494189988,NaN,NaN,9827153.794440039,13100563.678080449,13100563.678080449,9827153.794440039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617148800,3.2916,3.2998,2.958,3.1406,3671332.2940900046,NaN,3671332.2940900046,NaN,NaN,6155821.500350034,13351907.082649514,13351907.082649514,6155821.500350034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617235200,3.1406,3.5089,3.05,3.3077,5410839.03409,NaN,5410839.03409,NaN,NaN,11566660.534440033,14018092.32001296,14018092.32001296,11566660.534440033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617321600,3.3228,3.54,3.196,3.3508,3098968.5837199986,NaN,3098968.5837199986,NaN,NaN,14665629.118160032,13708195.46164096,13708195.46164096,14665629.118160032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617408000,3.35,3.4085,2.9,2.9233,3049017.593630001,NaN,3049017.593630001,NaN,NaN,11616611.52453003,10938596.196158761,10938596.196158761,11616611.52453003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617494400,2.9203,3.119,2.8578,3.1164,3249325.0935900006,NaN,3249325.0935900006,NaN,NaN,14865936.618120031,14123233.347609907,14123233.347609907,14865936.618120031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617580800,3.1121,3.501,2.9155,3.3266,4137947.3035500017,NaN,4137947.3035500017,NaN,NaN,19003883.921670035,15796080.703289302,15796080.703289302,19003883.921670035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617667200,3.3266,3.3976,3.0011,3.1859,2705118.523899999,NaN,2705118.523899999,NaN,NaN,16298765.397770036,15612555.638237827,15612555.638237827,16298765.397770036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1617753600,3.1893,3.3795,2.75,2.8943,3170207.803909999,NaN,3170207.803909999,NaN,NaN,13128557.593860038,13895758.433546929,13895758.433546929,13128557.593860038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.05892770890355,NaN
1617840000,2.8927,3.0947,2.85,3.0775,1855236.0726300015,NaN,1855236.0726300015,NaN,60.03270889087125,14983793.666490039,15490184.858042596,15490184.858042596,14983793.666490039,NaN,28.571428571428573,0,NaN,NaN,NaN,60.03270889087125,57.74217524155589,NaN
1617926400,3.076,3.1411,2.9152,2.9808,2310518.402649999,NaN,2310518.402649999,NaN,58.22957526490479,12673275.26384004,14521587.723332746,14521587.723332746,12673275.26384004,NaN,21.428571428571427,0,NaN,NaN,NaN,58.22957526490479,40.82863256175841,47.54324517073928
1618012800,2.9808,3.049,2.8602,2.9537,1575035.372320002,NaN,1575035.372320002,NaN,57.70646655098114,11098239.891520038,14506571.496266138,14506571.496266138,11098239.891520038,NaN,14.285714285714286,0,NaN,NaN,NaN,57.70646655098114,24.27311725452812,40.94797501928081
1618099200,2.9613,3.208,2.8822,3.1091,1844679.5017300022,NaN,1844679.5017300022,NaN,59.92946849384988,12942919.39325004,15231307.457657913,15231307.457657913,12942919.39325004,NaN,7.142857142857143,71.42857142857143,NaN,NaN,NaN,59.92946849384988,42.79075309818877,35.964167638158436
1618185600,3.1068,3.1216,2.9292,3.0316,3129739.811540003,NaN,3129739.811540003,NaN,58.2841436206478,9813179.581710037,15433016.260480665,15433016.260480665,9813179.581710037,NaN,0,64.28571428571429,NaN,NaN,NaN,58.2841436206478,35.64556962025317,34.23647999099001
1618272000,3.0403,3.194,2.98,3.1248,1916021.4313000015,4728274.095423,1916021.4313000015,4728274.095423,59.71645617870262,11729201.013010038,16109891.121257676,16109891.121257676,11729201.013010038,NaN,21.428571428571427,57.142857142857146,NaN,NaN,NaN,59.71645617870262,47.44303797468355,41.95978689770849
1618358400,3.1285,3.2977,2.9759,3.1591,2916124.0625100057,4695203.074839,2916124.0625100057,4695203.074839,60.257281599282706,14645325.075520044,16514052.50468821,16514052.50468821,14645325.075520044,NaN,14.285714285714286,50,NaN,NaN,NaN,60.257281599282706,51.78481012658228,44.957805907173
1618444800,3.1561,4.1669,3.1415,4.0238,7510754.7438299935,4856004.087317498,7510754.7438299935,4856004.087317498,70.87356997330534,22156079.819350038,21928476.053195253,21928476.053195253,22156079.819350038,NaN,100,42.857142857142854,NaN,NaN,NaN,70.87356997330534,89.90048697861526,63.04277835996036
1618531200,4.0238,4.66,3.67,3.9118,8603230.624369992,4521915.095315998,8603230.624369992,4521915.095315998,68.32762671250173,13552849.194980046,17527793.236850843,17527793.236850843,13552849.194980046,NaN,100,35.714285714285715,NaN,NaN,NaN,68.32762671250173,60.82722513089004,67.50417407869587
1618617600,3.9118,4.34,3.7555,3.7837,3502286.5339400005,3970924.226292999,3502286.5339400005,3970924.226292999,65.43246080732723,10050562.661040045,14363451.887708474,14363451.887708474,10050562.661040045,NaN,92.85714285714286,28.571428571428573,NaN,NaN,NaN,65.43246080732723,54.12041884816754,68.28271031922428
1618704000,3.7891,3.8763,2.7,3.2282,8187178.164289981,3866992.772288999,8187178.164289981,3866992.772288999,54.62365960199129,1863384.4967500642,13528934.620091056,13528934.620091056,1863384.4967500642,NaN,85.71428571428571,100,NaN,NaN,NaN,54.62365960199129,26.948979591836736,47.29887452363144
1618790400,3.2315,3.4661,2.7852,2.8293,3364986.5135399965,3760427.3732564994,3364986.5135399965,3760427.3732564994,48.43611637384117,-1501602.0167899323,10599829.749221388,10599829.749221388,-1501602.0167899323,NaN,78.57142857142857,92.85714285714286,NaN,0.11784400460776023,NaN,48.43611637384117,6.596938775510192,29.22211240517149
1618876800,2.8318,3.1022,2.5861,3.0348,4245946.793730003,3789158.0982384994,4245946.793730003,3789158.0982384994,51.48503377962287,2744344.7769400706,13736779.00798762,13736779.00798762,2744344.7769400706,NaN,71.42857142857143,100,NaN,0.08881637120108765,NaN,51.48503377962287,21.635565842133182,18.3938280698267
1618963200,3.0328,3.1627,2.8223,2.8858,2975902.362700005,3667411.2646689997,2975902.362700005,3667411.2646689997,49.21287887117447,-231557.5857599345,11871157.49153586,11871157.49153586,-231557.5857599345,40.26500421733646,64.28571428571429,92.85714285714286,NaN,0.05317573111094687,NaN,49.21287887117447,14.451034283234488,14.227846300292619
1619049600,2.8989,3.3402,2.6705,2.756,4812536.003300001,3753089.6356479996,4812536.003300001,3753089.6356479996,47.25633288705445,-5044093.589059936,8287445.82236203,8287445.82236203,-5044093.589059936,38.7608931132366,57.142857142857146,85.71428571428571,NaN,0.014291745500597752,NaN,47.25633288705445,8.1922947104489,14.759631611938856
1619136000,2.7541,2.855,2.2548,2.6481,4326400.623680009,3816958.7871505,4326400.623680009,3816958.7871505,45.63222682868891,-9370494.212739944,9631066.40925632,9631066.40925632,-9370494.212739944,36.26530481735125,50,100,NaN,-0.024943191892132344,NaN,45.63222682868891,16.352070513886577,12.99846650252332
1619222400,2.6491,2.65,2.3502,2.3739,2021967.9116900014,3755590.9280554997,2021967.9116900014,3755590.9280554997,41.70923599683358,-11392462.124429945,7928782.55031517,7928782.55031517,-11392462.124429945,33.94797282831486,42.857142857142854,92.85714285714286,NaN,-0.07727206657997376,NaN,41.70923599683358,4.95177116248129,9.832045462272253
1619308800,2.3786,2.5521,2.201,2.3841,2048165.5101800016,3651101.838386999,2048165.5101800016,3651101.838386999,41.90930031699167,-9344296.614249943,8016869.417884861,8016869.417884861,-9344296.614249943,31.628151606049755,35.714285714285715,100,NaN,-0.11657620410942249,NaN,41.90930031699167,7.44611630744205,9.583319327936637
1619395200,2.3907,2.8447,2.3518,2.779,3362576.96276,3683974.760329999,3362576.96276,3683974.760329999,49.18146465233312,-5981719.651489943,10483032.071643716,10483032.071643716,-5981719.651489943,29.96851184096557,28.571428571428573,92.85714285714286,NaN,-0.11453954600161786,NaN,49.18146465233312,23.505490036600236,11.967792502174524
