time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
2021-03-22T00:00:00Z,2.78,3.39,2.347,3.0253,37679393.34724999,NaN,37679393.34724999,NaN,NaN,NaN,11329106.187629528,11329106.187629528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-03-29T00:00:00Z,3.0206,3.5892,2.8578,3.1164,34241584.33767999,NaN,34241584.33767999,NaN,NaN,34241584.33767999,1301012.9894738626,1301012.9894738626,34241584.33767999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-05T00:00:00Z,3.1121,3.501,2.75,3.1091,17598742.980690002,NaN,17598742.980690002,NaN,NaN,16642841.356989987,532386.1322613149,532386.1322613149,16642841.356989987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-12T00:00:00Z,3.1068,4.66,2.7,3.2282,35765335.37177998,NaN,35765335.37177998,NaN,NaN,52408176.728769965,-15956163.37893276,-15956163.37893276,52408176.728769965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-19T00:00:00Z,3.2315,3.4661,2.201,2.3841,23795905.718820013,NaN,23795905.718820013,NaN,NaN,28612271.009949952,-32864028.093696263,-32864028.093696263,28612271.009949952,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-04-26T00:00:00Z,2.3907,3.49,2.3518,3.2779,19294024.04463002,NaN,19294024.04463002,NaN,NaN,47906295.05457997,-20760765.777876705,-20760765.777876705,47906295.05457997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-05-03T00:00:00Z,3.28,3.99,2.7568,3.4508,27926520.393540014,NaN,27926520.393540014,NaN,NaN,75832815.44811998,-17255231.10635547,-17255231.10635547,75832815.44811998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-05-10T00:00:00Z,3.452,4.3,2.8027,3.2734,46231825.70678001,NaN,46231825.70678001,NaN,NaN,29600989.741339974,-34419641.652270794,-34419641.652270794,29600989.741339974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-05-17T00:00:00Z,3.2702,3.6183,1.0582,1.32,65323818.24767001,NaN,65323818.24767001,NaN,NaN,-35722828.506330036,-86383219.58335942,-86383219.58335942,-35722828.506330036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-05-24T00:00:00Z,1.3253,1.9983,1.2788,1.6797,53206596.6466199,NaN,53206596.6466199,NaN,NaN,17483768.140289865,-80297183.58055633,-80297183.58055633,17483768.140289865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-05-31T00:00:00Z,1.6761,2.9043,1.6034,2.461,65410486.26686001,NaN,65410486.26686001,NaN,NaN,82894254.40714988,-59465786.50133419,-59465786.50133419,82894254.40714988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-07T00:00:00Z,2.4598,2.5948,1.9779,2.2061,36935072.89848,NaN,36935072.89848,NaN,NaN,45959181.50866988,-69075251.89314167,-69075251.89314167,45959181.50866988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-14T00:00:00Z,2.2086,2.3571,1.7461,1.9234,14832886.84883001,NaN,14832886.84883001,NaN,NaN,31126294.659839872,-75299723.55932829,-75299723.55932829,31126294.659839872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-21T00:00:00Z,1.9245,1.9477,1.2158,1.5898,27303624.45684001,NaN,27303624.45684001,NaN,NaN,3822670.202999864,-74699110.97051133,-74699110.97051133,3822670.202999864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.759287023155093,NaN
2021-06-28T00:00:00Z,1.5898,1.9041,1.5541,1.8391,10706898.472860005,NaN,10706898.472860005,NaN,40.904211268901626,14529568.675859869,-67969060.50185648,-67969060.50185648,14529568.675859869,NaN,21.428571428571427,57.142857142857146,NaN,NaN,NaN,40.904211268901626,21.680826253539895,NaN
2021-07-05T00:00:00Z,1.835,2.1,1.657,1.7615,10541015.519470006,NaN,10541015.519470006,NaN,40.386608925364165,3988553.1563898623,-73537000.97940949,-73537000.97940949,3988553.1563898623,NaN,14.285714285714286,50,NaN,NaN,NaN,40.386608925364165,19.52634793714254,18.655487071279175
2021-07-12T00:00:00Z,1.7622,1.7892,1.3934,1.4109,6765701.849850005,NaN,6765701.849850005,NaN,38.0442567669647,-2777148.6934601422,-79704421.96835814,-79704421.96835814,-2777148.6934601422,NaN,7.142857142857143,42.857142857142854,NaN,NaN,NaN,38.0442567669647,9.792326059192627,16.99983341662502
2021-07-19T00:00:00Z,1.4105,1.621,1.2237,1.5258,8020947.006929999,NaN,8020947.006929999,NaN,39.28702211510183,5243798.313469857,-75527392.17793827,-75527392.17793827,5243798.313469857,NaN,0,35.714285714285715,NaN,NaN,NaN,39.28702211510183,14.424085384662845,14.580919793666004
2021-07-26T00:00:00Z,1.5263,1.7804,1.4731,1.6574,12094493.574030014,NaN,12094493.574030014,NaN,40.75289147826395,17338291.88749987,-73114790.62867683,-73114790.62867683,17338291.88749987,NaN,21.428571428571427,28.571428571428573,NaN,NaN,NaN,40.75289147826395,18.483558516873345,14.233323320242938
2021-08-02T00:00:00Z,1.659,1.9808,1.53,1.7596,12794851.875790015,28323486.27827,12794851.875790015,28323486.27827,41.92556843345258,30133143.763289884,-72876377.23968695,-72876377.23968695,30133143.763289884,NaN,14.285714285714286,21.428571428571427,NaN,NaN,NaN,41.92556843345258,21.636128076994265,18.18125732617682
2021-08-09T00:00:00Z,1.7619,2.382,1.71,2.2261,18349868.58454001,27357010.0401345,18349868.58454001,27357010.0401345,47.07498100462812,48483012.34782989,-63040629.22755702,-63040629.22755702,48483012.34782989,NaN,7.142857142857143,14.285714285714286,NaN,NaN,NaN,47.07498100462812,36.02628169535444,25.381989429740685
2021-08-16T00:00:00Z,2.2262,2.4699,1.847,2.4429,19971356.357290003,26643498.641115002,19971356.357290003,26643498.641115002,49.32387226462495,68454368.7051199,-44800615.370337114,-44800615.370337114,68454368.7051199,NaN,0,7.142857142857143,NaN,NaN,NaN,49.32387226462495,54.08773094800983,37.250046906786174
2021-08-23T00:00:00Z,2.4458,2.5149,1.986,2.1048,21191965.938140023,26823159.788987506,21191965.938140023,26823159.788987506,46.03839698522578,47262402.76697987,-56472424.17687934,-56472424.17687934,47262402.76697987,NaN,0,0,NaN,NaN,NaN,46.03839698522578,52.65028131477643,47.5880979860469
2021-08-30T00:00:00Z,2.1041,2.5456,2.0214,2.4828,30062683.113689974,26538027.176083006,30062683.113689974,26538027.176083006,50.04478650597849,77325085.88066985,-33612856.28463051,-33612856.28463051,77325085.88066985,NaN,7.142857142857143,28.571428571428573,NaN,NaN,NaN,50.04478650597849,75.03701510216169,60.59167578831599
2021-09-06T00:00:00Z,2.4828,2.6578,1.6524,2.4215,45168642.132399954,27606663.996762,45168642.132399954,27606663.996762,49.404188683035954,32156443.748269893,-9676261.36903204,-9676261.36903204,32156443.748269893,NaN,0,21.428571428571427,NaN,NaN,NaN,49.404188683035954,83.6130374479889,70.43344462164234
2021-09-13T00:00:00Z,2.4224,3.4427,2.0476,3.0446,74539209.22854002,30368923.255957503,74539209.22854002,30368923.255957503,55.62248680474941,106695652.97680992,22322543.309466008,22322543.309466008,106695652.97680992,NaN,100,14.285714285714286,NaN,-0.028306730467150487,NaN,55.62248680474941,82.1231308096457,80.25772778659876
2021-09-20T00:00:00Z,3.0466,3.1421,2.0666,2.5451,47973220.218149945,31371258.247187994,47973220.218149945,31371258.247187994,50.286988037270866,58722432.758659974,17036791.012068734,17036791.012068734,58722432.758659974,NaN,92.85714285714286,7.142857142857143,NaN,-0.007229166411060195,NaN,50.286988037270866,59.69284655799543,75.14300493854334
2021-09-27T00:00:00Z,2.5455,2.962,2.2123,2.8148,33806640.73258999,30749998.998478495,33806640.73258999,30749998.998478495,52.91333838978516,92529073.49124996,37567888.15165552,37567888.15165552,92529073.49124996,8.715502729069845,85.71428571428571,0,NaN,0.030881508178880246,NaN,52.91333838978516,71.70347003154573,71.1731491330623
2021-10-04T00:00:00Z,2.8175,3.0959,2.6274,2.6976,34780235.01380998,29222819.836785495,34780235.01380998,29222819.836785495,51.63668705733424,57748838.477439985,13210588.027789854,13210588.027789854,57748838.477439985,9.659262116654158,78.57142857142857,21.428571428571427,NaN,0.05103908504360399,NaN,51.63668705733424,66.42181162685894,65.93937607213337
2021-10-11T00:00:00Z,2.696,3.1541,2.52,2.8699,25085176.851150002,27816748.847012002,25085176.851150002,27816748.847012002,53.4161338965713,82834015.32858999,15809698.766033893,15809698.766033893,82834015.32858999,10.290784984542832,71.42857142857143,14.285714285714286,NaN,0.07999514572059718,NaN,53.4161338965713,74.18657052726452,70.77061739522307
2021-10-18T00:00:00Z,2.8699,3.948,2.6829,3.5013,36642943.19219999,26378371.693279,36642943.19219999,26378371.693279,59.322581340791025,119476958.52078998,26575789.97189963,26575789.97189963,119476958.52078998,11.941706049198666,100,7.142857142857143,NaN,0.1521379836217105,NaN,59.322581340791025,83.60312740887568,74.73716985433305
2021-10-25T00:00:00Z,3.5015,5.7,3.4829,4.8297,72587468.47840004,28160991.472275,72587468.47840004,28160991.472275,68.40039789159728,192064426.99919003,42176317.11544642,42176317.11544642,192064426.99919003,14.915726960686396,100,0,NaN,0.3128956146425632,NaN,68.40039789159728,79.4104426411791,79.06671352577311
