time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
2021-06-03T00:00:00Z,0.4875,0.4875,0.3779,0.4015,190111721.70470005,NaN,190111721.70470005,NaN,NaN,NaN,-108238790.4596102,-108238790.4596102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-04T00:00:00Z,0.4015,0.4039,0.35,0.3769,570165109.2144009,NaN,570165109.2144009,NaN,NaN,-570165109.2144009,-109296610.69933936,-109296610.69933936,-570165109.2144009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-05T00:00:00Z,0.3769,0.3948,0.3598,0.3718,221827648.1144006,NaN,221827648.1144006,NaN,NaN,-791992757.3288015,-179013871.53529358,-179013871.53529358,-791992757.3288015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-06T00:00:00Z,0.3718,0.3774,0.3669,0.3717,125063397.21439946,NaN,125063397.21439946,NaN,NaN,-917056154.543201,-189733591.2965286,-189733591.2965286,-917056154.543201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-07T00:00:00Z,0.3719,0.38,0.3274,0.3315,205450202.31440026,NaN,205450202.31440026,NaN,NaN,-1122506356.8576012,-363155435.0752239,-363155435.0752239,-1122506356.8576012,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-08T00:00:00Z,0.3317,0.3422,0.2959,0.3264,287575509.5144008,NaN,287575509.5144008,NaN,NaN,-1410081866.372002,-271851763.5879301,-271851763.5879301,-1410081866.372002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-09T00:00:00Z,0.3264,0.3548,0.3125,0.3436,197780888.91440055,NaN,197780888.91440055,NaN,NaN,-1212300977.4576013,-178805908.04663986,-178805908.04663986,-1212300977.4576013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-10T00:00:00Z,0.3437,0.3455,0.3228,0.3261,144170835.3143996,NaN,144170835.3143996,NaN,NaN,-1356471812.7720008,-281059231.77183044,-281059231.77183044,-1356471812.7720008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-11T00:00:00Z,0.3262,0.3343,0.311,0.3189,132298372.11439945,NaN,132298372.11439945,NaN,NaN,-1488770184.8864002,-323644544.6841905,-323644544.6841905,-1488770184.8864002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-12T00:00:00Z,0.3189,0.3192,0.3011,0.3121,94733927.01439922,NaN,94733927.01439922,NaN,NaN,-1583504111.9007995,-303232262.0678282,-303232262.0678282,-1583504111.9007995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-13T00:00:00Z,0.3123,0.3306,0.3077,0.3243,73923729.41440009,NaN,73923729.41440009,NaN,NaN,-1509580382.4863994,-269982724.38362217,-269982724.38362217,-1509580382.4863994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-14T00:00:00Z,0.3243,0.3377,0.3196,0.3276,93716865.3143996,NaN,93716865.3143996,NaN,NaN,-1415863517.172,-280855951.85103863,-280855951.85103863,-1415863517.172,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-15T00:00:00Z,0.3277,0.3307,0.3165,0.3204,83817626.31439981,NaN,83817626.31439981,NaN,NaN,-1499681143.4863997,-318632910.18992287,-318632910.18992287,-1499681143.4863997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-16T00:00:00Z,0.3204,0.3213,0.3051,0.3077,82167983.91439979,NaN,82167983.91439979,NaN,NaN,-1581849127.4007995,-374425985.6873549,-374425985.6873549,-1581849127.4007995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.158663883089758,NaN
2021-06-17T00:00:00Z,0.3078,0.3141,0.3028,0.3064,56537942.21440023,NaN,56537942.21440023,NaN,20.373831775700936,-1638387069.6151998,-394939752.3315178,-394939752.3315178,-1638387069.6151998,NaN,0,35.714285714285715,NaN,NaN,NaN,20.373831775700936,9.722222222222232,NaN
2021-06-18T00:00:00Z,0.3062,0.3078,0.2799,0.2934,176036609.4144004,NaN,176036609.4144004,NaN,18.739255014326645,-1814423679.0296001,-400618352.63520825,-400618352.63520825,-1814423679.0296001,NaN,0,100,NaN,NaN,NaN,18.739255014326645,11.749347258485649,9.210077787932546
2021-06-19T00:00:00Z,0.2935,0.298,0.2856,0.2856,57112283.01440023,NaN,57112283.01440023,NaN,17.815682494447003,-1871535962.0440004,-457730635.6496085,-457730635.6496085,-1871535962.0440004,NaN,0,92.85714285714286,NaN,NaN,NaN,17.815682494447003,5.694305694305731,9.055291725004537
2021-06-20T00:00:00Z,0.2858,0.2896,0.255,0.2803,158647350.21440008,NaN,158647350.21440008,NaN,17.195527653454164,-2030183312.2584004,-384367699.1342792,-384367699.1342792,-2030183312.2584004,NaN,7.142857142857143,100,NaN,NaN,NaN,17.195527653454164,20.23999999999999,12.561217650930457
2021-06-21T00:00:00Z,0.2803,0.2811,0.1643,0.1788,791736965.3143989,NaN,791736965.3143989,NaN,10.00953824005586,-2821920277.572799,-979526137.1017814,-979526137.1017814,-2821920277.572799,NaN,0,100,NaN,NaN,NaN,10.00953824005586,7.611548556430438,11.181951416912051
