time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
1386547200,0.000558776,0.000902639,0.000479798,0.000901925,0,NaN,0,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1387152000,0.000901925,0.00151906,0.000169565,0.000326162,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1387756800,0.000326162,0.00091291,0.000296297,0.000452834,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1388361600,0.000452834,0.00045855,0.000259708,0.000270254,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1388966400,0.000270254,0.000507941,0.000203363,0.000338742,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1389571200,0.000338742,0.00074954,0.000260698,0.00070625,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1390176000,0.00070625,0.00232249,0.000690168,0.00157642,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1390780800,0.00157642,0.00167367,0.00122205,0.00128708,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1391385600,0.00128708,0.00136867,0.00106505,0.0012729,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1391990400,0.0012729,0.00194416,0.00118074,0.00142552,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1392595200,0.00142552,0.00147472,0.001163,0.00118874,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1393200000,0.00118874,0.00121875,0.000848945,0.000956483,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1393804800,0.000956483,0.00143291,0.000824334,0.000872005,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1394409600,0.000872005,0.000969989,0.000665978,0.000826667,0,NaN,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.52136047470302,NaN
1395014400,0.000826667,0.000826667,0.000673482,0.000727251,0,NaN,0,NaN,47.38948884950039,0,0,0,0,NaN,42.857142857142854,7.142857142857143,NaN,NaN,NaN,47.38948884950039,25.903642718626987,NaN
1395619200,0.000727251,0.00075675,0.000449553,0.000529658,0,NaN,0,NaN,44.555581563723464,0,0,0,0,NaN,35.714285714285715,0,NaN,NaN,NaN,44.555581563723464,15.397614206227374,23.940872466519124
1396224000,0.000529658,0.000568452,0.000386589,0.000459402,0,NaN,0,NaN,43.558180354844374,0,0,0,0,NaN,28.571428571428573,14.285714285714286,NaN,NaN,NaN,43.558180354844374,12.08228671523698,17.794514546697112
1396828800,0.000459402,0.000470259,0.000346427,0.000385291,0,NaN,0,NaN,42.477952709470735,0,0,0,0,NaN,21.428571428571427,7.142857142857143,NaN,NaN,NaN,42.477952709470735,8.585044690573053,12.021648537345802
1397433600,0.000385291,0.000803104,0.000385291,0.000629686,0,NaN,0,NaN,47.133989696941626,0,0,0,0,NaN,14.285714285714286,0,NaN,NaN,NaN,47.133989696941626,17.896470643013455,12.854600682941163
1398038400,0.000629686,0.000646392,0.000439799,0.000442034,0,0,0,0,44.17716553323495,0,0,0,0,NaN,7.142857142857143,0,NaN,NaN,NaN,44.17716553323495,4.838256675014915,10.43992400286714
1398643200,0.000442034,0.000518556,0.000431322,0.00046803,0,0,0,0,44.69476704522499,0,0,0,0,NaN,0,78.57142857142857,NaN,NaN,NaN,44.69476704522499,7.610971294953536,10.11523287099397
1399248000,0.00046803,0.000499264,0.000444342,0.000457053,0,0,0,0,44.507105700471925,0,0,0,0,NaN,14.285714285714286,71.42857142857143,NaN,NaN,NaN,44.507105700471925,6.923935350900308,6.457721106956253
1399852800,0.000457053,0.000485554,0.000446378,0.000448691,0,0,0,0,44.35432611976741,0,0,0,0,NaN,7.142857142857143,64.28571428571429,NaN,NaN,NaN,44.35432611976741,6.400568805926897,6.978491817260248
1400457600,0.000448691,0.0004734,0.000400154,0.000426139,0,0,0,0,43.916478441059084,0,0,0,0,NaN,0,57.142857142857146,NaN,NaN,NaN,43.916478441059084,7.064831564141586,6.796445240322931
1401062400,0.000426139,0.000429991,0.000335764,0.000409628,0,0,0,0,43.57730608894415,0,0,0,0,NaN,0,100,NaN,NaN,NaN,43.57730608894415,6.73237654787968,6.73259230598272
1401667200,0.000409628,0.00041636,0.000353934,0.000360473,0,0,0,0,42.52435150126469,0,0,0,0,NaN,7.142857142857143,92.85714285714286,NaN,-0.00019514891858381342,NaN,42.52435150126469,2.2521159444595327,5.3497746854936
1402272000,0.000360473,0.000433556,0.000357517,0.000372992,0,0,0,0,42.902751446689244,0,0,0,0,NaN,0,85.71428571428571,NaN,-0.0001910443433381774,NaN,42.902751446689244,5.869841144704165,4.9514445456811265
1402876800,0.000372992,0.000378098,0.00033812,0.000341078,0,0,0,0,42.14107749174538,0,0,0,0,51.311990958207524,0,78.57142857142857,NaN,-0.00018819721067178826,NaN,42.14107749174538,1.0824949124368703,3.0681506672001895
1403481600,0.000341078,0.000342181,0.00026106,0.000269482,0,0,0,0,40.407902286585944,0,0,0,0,50.464430175392906,0,100,NaN,-0.0001895332154411781,NaN,40.407902286585944,1.5537484041885814,2.835361487109873
1404086400,0.000269482,0.000281238,0.000210602,0.000230046,0,0,0,0,39.44557261099106,0,0,0,0,49.398396951263074,21.428571428571427,100,NaN,-0.0001915659118794046,NaN,39.44557261099106,3.2816766863234217,1.972640000982959
1404691200,0.000230046,0.000286837,0.000221371,0.000272144,0,0,0,0,41.059285466590616,0,0,0,0,48.423870027690015,14.285714285714286,92.85714285714286,NaN,-0.00018761714798480247,NaN,41.059285466590616,10.386800382108413,5.07407515754014
1405296000,0.000272144,0.000272544,0.000231242,0.000241542,0,0,0,0,40.220216248823704,0,0,0,0,47.51895217008646,7.142857142857143,85.71428571428571,NaN,-0.00018482648512738138,NaN,40.220216248823704,5.221923301524721,6.296800123318853
1405900800,0.000241542,0.000241542,0.000207373,0.000216713,0,0,0,0,39.51464865258221,0,0,0,0,46.52131841453448,0,100,NaN,-0.0001825144445966112,NaN,39.51464865258221,2.1274705650552685,5.912064749562802
1406505600,0.000216713,0.000219135,0.000201325,0.000205842,0,0,0,0,39.19048093024409,0,0,0,0,45.552889671836475,0,100,0.000008280602030145457,-0.00017949028241898097,-0.00018777088444912643,39.19048093024409,1.423883542276763,2.924425802952252
1407110400,0.000205842,0.000207491,0.000157725,0.000159143,0,0,0,0,37.75750879476479,0,0,0,0,44.339338859346086,0,100,0.000007176125449812661,-0.0001788007276368606,-0.00018597685308667327,37.75750879476479,0.4151795256178627,1.3221778776499662
1407715200,0.000159143,0.000166079,0.000117209,0.000125827,0,0,0,0,36.725797133289376,0,0,0,0,42.91809724186625,0,100,0.000005677042754449713,-0.00017888054964361114,-0.00018455759239806085,36.725797133289376,2.33965440008688,1.3929058226605031
1408320000,0.000125827,0.000139547,0.000104268,0.000125427,0,0,0,0,36.712826396419494,0,0,0,0,41.501430954078785,0,100,0.000006096896076421401,-0.0001769364723025341,-0.0001830333683789555,36.712826396419494,5.732095835636034,2.8289765871135937
1408924800,0.000125427,0.000174501,0.000111443,0.00013136,0,0,0,0,37.06785634044403,0,0,0,0,40.354885359772204,0,92.85714285714286,0.0000080877531187014,-0.00017292367698057876,-0.00018101143009928016,37.06785634044403,8.227448312723208,5.433066182815376
1409529600,0.00013136,0.000216679,0.00012765,0.00019006,0,0,0,0,40.617279739290765,0,0,0,0,39.4948342477114,14.285714285714286,85.71428571428571,0.000014307953882904194,-0.00016312648774564992,-0.00017743444162855412,40.617279739290765,26.053788780641874,13.337777643000374
1410134400,0.00019006,0.000434436,0.00016637,0.000344258,0,0,0,0,48.78835696605591,0,0,0,0,39.59752273161119,100,78.57142857142857,0.0000289148006917092,-0.0001412909407639176,-0.0001702057414556268,48.78835696605591,72.68723801216349,35.65615836850952
1410739200,0.000344258,0.000355124,0.000262406,0.000289167,0,0,0,0,46.3352454406116,0,0,0,0,39.69287632380386,92.85714285714286,71.42857142857143,0.00003459028199617541,-0.00012696788896040753,-0.00016155817095658294,46.3352454406116,56.00149015046885,51.580838981091404
1411344000,0.000289167,0.000464929,0.000287093,0.000392813,0,0,0,0,51.29677303914747,0,0,0,0,40.175200708495254,100,64.28571428571429,0.000044421624575417644,-0.00010603114023731089,-0.00015045276481272853,51.29677303914747,80.00449175264306,69.56440663842514
1411948800,0.000392813,0.000408378,0.000261958,0.000275451,0,0,0,0,46.09942917912373,0,0,0,0,40.38781498197911,92.85714285714286,57.142857142857146,0.00004213694515275762,-0.00009778158337178151,-0.00013991852852453913,46.09942917912373,47.46368473441821,61.15655554584338
1412553600,0.000275451,0.000311547,0.000265176,0.000292855,0,0,0,0,46.95769156234927,0,0,0,0,40.58524252164269,85.71428571428571,50,0.00004088235719686752,-0.00008881558202845474,-0.00012969793922532226,46.95769156234927,52.28926887021331,59.91914845242487
1413158400,0.000292855,0.000292855,0.000241913,0.000241913,0,0,0,0,44.71341608011537,0,0,0,0,40.52754281414924,78.57142857142857,42.857142857142854,0.00003588431697693264,-0.00008484254300415646,-0.0001207268599810891,44.71341608011537,38.16464768854964,45.972533764393724
