time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
2021-06-16T00:00:00Z,24,24,22.5,23.04,731607.48466,NaN,731607.48466,NaN,NaN,NaN,-204850.09570480083,-204850.09570480083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-17T00:00:00Z,23.04,24.004,22.002,22.553,777908.3213600001,NaN,777908.3213600001,NaN,NaN,-777908.3213600001,-554559.1312812235,-554559.1312812235,-777908.3213600001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-18T00:00:00Z,22.559,22.571,20.222,21.468,1330098.1044,NaN,1330098.1044,NaN,NaN,-2108006.42576,-473586.790315197,-473586.790315197,-2108006.42576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-19T00:00:00Z,21.437,21.665,20.227,20.227,547034.1483900006,NaN,547034.1483900006,NaN,NaN,-2655040.5741500007,-1020620.9387051975,-1020620.9387051975,-2655040.5741500007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-20T00:00:00Z,20.222,21,18.878,20.653,601282.4123100009,NaN,601282.4123100009,NaN,NaN,-2053758.1618399997,-615987.911005537,-615987.911005537,-2053758.1618399997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-21T00:00:00Z,20.596,20.8,15.673,15.732,1365673.1803999995,NaN,1365673.1803999995,NaN,NaN,-3419431.342239999,-1950229.5651158548,-1950229.5651158548,-3419431.342239999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-22T00:00:00Z,15.726,22.8,13.15,14.676,2994535.8173999973,NaN,2994535.8173999973,NaN,NaN,-6413967.1596399965,-3997685.2462770147,-3997685.2462770147,-6413967.1596399965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-23T00:00:00Z,14.715,16.842,14,15.813,2036329.8534000039,NaN,2036329.8534000039,NaN,NaN,-4377637.306239992,-3435939.079821839,-3435939.079821839,-4377637.306239992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-24T00:00:00Z,15.813,16.606,14.737,16.224,1155981.434390003,NaN,1155981.434390003,NaN,NaN,-3221655.8718499895,-2752493.662485858,-2752493.662485858,-3221655.8718499895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-25T00:00:00Z,16.22,16.731,14.419,14.434,1190915.6583899986,NaN,1190915.6583899986,NaN,NaN,-4412571.530239988,-3927956.2630247762,-3927956.2630247762,-4412571.530239988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2021-06-26T00:00:00Z,14.433,14.987,13.705,14.677,1006464.3093899984,NaN,1006464.3093899984,NaN,NaN,-3406107.22084999,-3408237.5634801756,-3408237.5634801756,-3406107.22084999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
