time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
2016-05-23T00:00:00Z,13.91,13.91,10.25,12.34,53831,NaN,53831,NaN,NaN,NaN,7648.120218579228,7648.120218579228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-30T00:00:00Z,12.35,14.45,12,14.04,49575,NaN,49575,NaN,NaN,49575,40630.67123898738,40630.67123898738,49575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-06T00:00:00Z,14.02,15.91,13.76,15.58,84252,NaN,84252,NaN,NaN,133827,99019.26658782452,99019.26658782452,133827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-13T00:00:00Z,15.91,22,10,12.35,340071,NaN,340071,NaN,NaN,-206244,-107857.2584121755,-107857.2584121755,-206244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-20T00:00:00Z,12.35,15.89,10.8,14.02,219283,NaN,219283,NaN,NaN,13039,-49697.72010176302,-49697.72010176302,13039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-06-27T00:00:00Z,14,14.59,11.52,12.02,133884,NaN,133884,NaN,NaN,-120845,-139971.2966489943,-139971.2966489943,-120845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-07-04T00:00:00Z,11.94,11.99,9.31,11.02,122035,NaN,122035,NaN,NaN,-242880,-106275.06530571077,-106275.06530571077,-242880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-07-11T00:00:00Z,11,12.75,10.11,11.33,100539,NaN,100539,NaN,NaN,-142341,-113891.65621480165,-113891.65621480165,-142341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-07-18T00:00:00Z,11.27,15.39,11,12.78,589591,NaN,589591,NaN,NaN,447250,-225363.30313963105,-225363.30313963105,447250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-07-25T00:00:00Z,12.71,14.01,11.61,11.99,593186,NaN,593186,NaN,NaN,-145936,-630707.0698062973,-630707.0698062973,-145936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
