time,open,high,low,close,Volume,Volume MA,Volume,Volume MA,RSI,OnBalanceVolume,Accumulation/Distribution,Accumulation/Distribution,OnBalanceVolume,ADX,Aroon Up,Aroon Down,Histogram,MACD,Signal,RSI,%K,%D
1623628800,40.5,40.5,31.324,35.271,1223665.0839000004,NaN,1223665.0839000004,NaN,NaN,NaN,-170961.05465996038,-170961.05465996038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624233600,35.286,35.532,20.181,31.92,5851762.873739998,NaN,5851762.873739998,NaN,NaN,-5851762.873739998,2927031.054967102,2927031.054967102,-5851762.873739998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1624838400,31.935,36,31.01,34.332,3273369.8473599995,NaN,3273369.8473599995,NaN,NaN,-2578393.0263799983,4012031.8019677894,4012031.8019677894,-2578393.0263799983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1625443200,34.304,38.1,31.069,32.2,3047680.5445600003,NaN,3047680.5445600003,NaN,NaN,-5626073.570939999,1944845.2684723218,1944845.2684723218,-5626073.570939999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626048000,32.191,32.686,26,26.702,2438502.3606399987,NaN,2438502.3606399987,NaN,NaN,-8064575.931579998,18406.52050635335,18406.52050635335,-8064575.931579998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1626652800,26.696,29.508,22.139,28.253,3903182.8183599976,NaN,3903182.8183599976,NaN,NaN,-4161393.11322,2592102.4513533134,2592102.4513533134,-4161393.11322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627257600,28.26,37,26.909,34.198,5679966.486989999,NaN,5679966.486989999,NaN,NaN,1518573.373769999,5117720.291718405,5117720.291718405,1518573.373769999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1627862400,34.162,40.496,32.36,37.689,4784838.688579998,NaN,4784838.688579998,NaN,NaN,6303412.062349997,6600926.188055517,6600926.188055517,6303412.062349997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1628467200,37.69,54.778,36.382,53.556,5855946.955649998,NaN,5855946.955649998,NaN,NaN,12159359.017999995,11678881.495542401,11678881.495542401,12159359.017999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629072000,53.565,82.044,52.3,72.809,21422362.025800012,NaN,21422362.025800012,NaN,NaN,33581721.04380001,19798694.213363454,19798694.213363454,33581721.04380001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1629676800,72.811,98,66.151,94.287,14753401.183789987,NaN,14753401.183789987,NaN,NaN,48335122.227589995,31112152.002044514,31112152.002044514,48335122.227589995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630281600,94.305,150.721,93.722,142.138,27111902.31679999,NaN,27111902.31679999,NaN,NaN,75447024.54439,50058947.64732065,50058947.64732065,75447024.54439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1630886400,142.137,216.47,134.242,174.272,33867857.76280001,NaN,33867857.76280001,NaN,NaN,109314882.30719,49165997.367248766,49165997.367248766,109314882.30719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1631491200,174.288,175.153,134.1,152.842,23064185.429799996,NaN,23064185.429799996,NaN,NaN,86250696.87739,47160880.13345452,47160880.13345452,86250696.87739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.58453097218897,NaN
1632096000,152.81,153.432,116,135.698,21627739.248800006,NaN,21627739.248800006,NaN,75.1650069911846,64622957.62858999,48295654.65484381,48295654.65484381,64622957.62858999,NaN,85.71428571428571,7.142857142857143,NaN,NaN,NaN,75.1650069911846,58.8504704797518,NaN
1632700800,135.632,177.935,128.167,173.129,11414326.927790005,NaN,11414326.927790005,NaN,79.33893839510073,76037284.55637999,57505462.40505147,57505462.40505147,76037284.55637999,NaN,78.57142857142857,0,NaN,NaN,NaN,79.33893839510073,77.69733084273739,68.04411076489272
1633305600,173.15,173.151,145.67,147.624,10378828.003800001,NaN,10378828.003800001,NaN,70.62850328359488,65658456.552579984,48602579.957775995,48602579.957775995,65658456.552579984,NaN,71.42857142857143,21.428571428571427,NaN,NaN,NaN,70.62850328359488,64.57281648321678,67.04020593523532
1633910400,147.637,167.5,137.66,160.097,9318383.748799996,NaN,9318383.748799996,NaN,72.23395680675945,74976840.30137998,53297371.5556131,53297371.5556131,74976840.30137998,NaN,64.28571428571429,14.285714285714286,NaN,NaN,NaN,72.23395680675945,70.9912468931874,71.08713140638052
1634515200,160.132,215,153.183,202.304,12383646.1552,NaN,12383646.1552,NaN,76.8460227415213,87360486.45657998,60594301.384028584,60594301.384028584,87360486.45657998,NaN,57.142857142857146,7.142857142857143,NaN,NaN,NaN,76.8460227415213,92.71037559627646,76.09147965756021
1635120000,202.303,218.97,179.761,200.3,9122501.645,11526202.505408002,9122501.645,11526202.505408002,76.1988387273227,78237984.81157999,61029149.39276396,61029149.39276396,78237984.81157999,NaN,100,0,NaN,NaN,NaN,76.1988387273227,90.2791300680513,84.66025085250506
